window,model,n,MAE,SU_%,ats_n,ats_%,roi_%,vs_line_mean,vs_line_p95,vs_line_max,flips_vs_10pt_fav,flip_rate_%
weeks 1-4,production_now,823,15.16,70.5,599,49.4,-5.7,8.7,26.0,45.2,26,5.8
weeks 1-4,production_no_ml,823,13.79,73.3,558,48.0,-8.3,6.8,18.2,33.9,8,1.8
weeks 1-4,prior_only,823,13.88,72.8,567,46.9,-10.4,6.5,16.1,26.4,9,2.0
weeks 1-4,sp_only,823,14.25,72.4,568,47.9,-8.6,6.9,17.8,28.6,16,3.5
weeks 1-4,lastyear_only,823,13.93,71.8,583,46.1,-11.9,6.7,16.7,28.6,8,1.8
weeks 1-4,shrunk,823,13.06,74.7,511,47.4,-9.6,5.1,12.5,26.4,1,0.2
weeks 1-4,shrunk_plus_ml,608,12.93,75.0,373,48.0,-8.4,4.8,12.2,19.1,1,0.3
weeks 5+,production_now,2185,12.75,69.5,1177,50.6,-3.3,4.1,10.1,20.2,3,0.3
weeks 5+,production_no_ml,2185,12.6,69.7,1101,50.7,-3.2,3.7,9.2,21.3,2,0.2
weeks 5+,prior_only,2185,14.62,64.2,1663,50.3,-3.9,8.4,21.4,48.9,100,11.4
weeks 5+,sp_only,2185,14.78,63.8,1722,51.2,-2.3,8.8,22.1,50.7,103,11.7
weeks 5+,lastyear_only,2185,14.73,63.9,1660,49.9,-4.7,8.5,21.8,47.1,113,12.9
weeks 5+,shrunk,2185,12.49,70.6,998,50.1,-4.4,3.2,8.1,15.6,1,0.1
weeks 5+,shrunk_plus_ml,1967,12.38,71.1,810,51.9,-1.0,3.1,8.0,15.6,2,0.3
