window,lambda,n,MAE,SU_%,flips,flip_rate_%,vs_line_max
weeks 1-4,1,823,13.34,73.8,4,0.89,26.4
weeks 1-4,2,823,13.09,74.8,1,0.22,26.4
weeks 1-4,4,823,13.09,74.6,0,0.0,26.4
weeks 1-4,8,823,13.26,73.4,3,0.67,26.4
weeks 1-4,15,823,13.45,73.3,4,0.89,26.4
weeks 1-4,30,823,13.63,72.9,6,1.33,26.4
weeks 1-4,60,823,13.74,72.5,8,1.77,26.4
weeks 1-4,120,823,13.81,72.7,8,1.77,26.4
weeks 5+,1,2185,12.59,71.0,1,0.11,17.1
weeks 5+,2,2185,12.48,70.8,0,0.0,14.2
weeks 5+,4,2185,12.53,70.3,1,0.11,16.9
weeks 5+,8,2185,12.78,69.0,10,1.14,21.1
weeks 5+,15,2185,13.17,68.1,32,3.65,26.3
weeks 5+,30,2185,13.64,66.8,49,5.59,34.9
weeks 5+,60,2185,14.04,65.6,74,8.44,41.0
weeks 5+,120,2185,14.3,64.9,85,9.69,44.6
