model,season,total_picks,straight_up_win_pct,ats_decided,ats_win_pct,total_profit,roi_pct
bayesian_rating_ridge,2022,567.0,67.4,296.0,47.0,-306.49,-10.4
bayesian_rating_ridge,2023,577.0,72.3,333.0,47.7,-294.69,-8.8
bayesian_rating_ridge,2024,604.0,70.5,356.0,51.1,-85.62,-2.4
bayesian_rating_ridge,2025,613.0,71.8,354.0,54.8,163.46,4.6
bayesian_regression,2022,566.0,66.6,315.0,44.8,-458.31,-14.5
bayesian_regression,2023,576.0,71.4,333.0,51.1,-84.7,-2.5
bayesian_regression,2024,604.0,69.7,381.0,48.8,-259.26,-6.8
bayesian_regression,2025,613.0,71.9,354.0,52.0,-27.44,-0.8
colley,2022,567.0,66.0,403.0,51.1,-97.46,-2.4
colley,2023,577.0,69.5,424.0,50.0,-192.92,-4.6
colley,2024,604.0,65.7,455.0,48.8,-312.02,-6.9
colley,2025,613.0,67.2,460.0,52.2,-18.4,-0.4
current_baseline,2022,566.0,67.1,312.0,46.2,-371.04,-11.9
current_baseline,2023,576.0,71.2,330.0,50.3,-131.06,-4.0
current_baseline,2024,604.0,69.2,395.0,49.6,-208.36,-5.3
current_baseline,2025,613.0,72.1,361.0,51.8,-40.17,-1.1
current_plus_core,2022,558.0,66.7,313.0,45.4,-419.22,-13.4
current_plus_core,2023,560.0,71.1,332.0,50.0,-151.06,-4.6
current_plus_core,2024,596.0,69.0,389.0,49.1,-243.81,-6.3
current_plus_core,2025,595.0,71.4,350.0,52.6,12.56,0.4
elo,2022,567.0,69.5,398.0,48.5,-295.63,-7.4
elo,2023,577.0,69.7,415.0,50.4,-160.19,-3.9
elo,2024,604.0,66.4,437.0,46.9,-456.55,-10.4
elo,2025,613.0,71.1,428.0,53.3,72.52,1.7
ensemble_3way,2022,566.0,68.6,326.0,46.9,-339.23,-10.4
ensemble_3way,2023,576.0,70.3,327.0,49.8,-158.33,-4.8
ensemble_3way,2024,604.0,69.2,360.0,49.7,-182.89,-5.1
ensemble_3way,2025,613.0,70.8,351.0,52.1,-16.53,-0.5
gradient_boosting,2022,566.0,64.7,335.0,46.6,-371.96,-11.1
gradient_boosting,2023,576.0,71.4,359.0,51.3,-77.44,-2.2
gradient_boosting,2024,604.0,69.0,405.0,49.4,-232.0,-5.7
gradient_boosting,2025,613.0,70.5,403.0,53.1,55.26,1.4
massey_capped,2022,567.0,66.8,340.0,55.3,188.92,5.6
massey_capped,2023,577.0,70.9,309.0,49.5,-169.23,-5.5
massey_capped,2024,604.0,69.0,338.0,50.6,-115.61,-3.4
massey_capped,2025,613.0,69.5,315.0,51.4,-57.42,-1.8
