model,tier,n_picks,straight_up_%,ats_n,ats_win_%,profit_$,roi_%,p_vs_breakeven(52.4%)
bayesian_rating_ridge,"high (green, >=5pt)",835.0,70.3,817.0,49.7,-419.46,-5.1,0.132
bayesian_rating_ridge,"medium (yellow, 3-5pt)",537.0,72.3,524.0,51.5,-85.7,-1.6,0.726
bayesian_rating_ridge,"combined (>=3pt, ='recommended')",1372.0,71.1,1341.0,50.4,-505.16,-3.8,0.155
bayesian_rating_ridge,"low (unflagged, <3pt)",988.0,69.7,974.0,50.2,-404.99,-4.2,0.178
bayesian_regression,"high (green, >=5pt)",918.0,69.7,896.0,50.0,-407.68,-4.5,0.16
bayesian_regression,"medium (yellow, 3-5pt)",500.0,70.8,489.0,48.1,-403.85,-8.3,0.057
bayesian_regression,"combined (>=3pt, ='recommended')",1418.0,70.1,1385.0,49.3,-811.53,-5.9,0.024
bayesian_regression,"low (unflagged, <3pt)",941.0,69.7,929.0,50.8,-279.52,-3.0,0.341
colley,"high (green, >=5pt)",1461.0,65.0,1435.0,51.3,-299.76,-2.1,0.413
colley,"medium (yellow, 3-5pt)",316.0,70.9,309.0,46.6,-341.04,-11.0,0.046
colley,"combined (>=3pt, ='recommended')",1777.0,66.1,1744.0,50.5,-640.8,-3.7,0.108
colley,"low (unflagged, <3pt)",583.0,70.2,571.0,48.5,-422.07,-7.4,0.065
current_baseline,"high (green, >=5pt)",949.0,69.0,926.0,50.0,-421.33,-4.5,0.148
current_baseline,"medium (yellow, 3-5pt)",486.0,72.0,473.0,48.6,-339.3,-7.2,0.107
current_baseline,"combined (>=3pt, ='recommended')",1435.0,70.0,1399.0,49.5,-760.63,-5.4,0.034
current_baseline,"low (unflagged, <3pt)",924.0,69.8,915.0,49.6,-483.14,-5.3,0.098
current_plus_core,"high (green, >=5pt)",932.0,68.3,909.0,49.2,-556.77,-6.1,0.054
current_plus_core,"medium (yellow, 3-5pt)",490.0,72.0,477.0,49.7,-245.67,-5.2,0.252
current_plus_core,"combined (>=3pt, ='recommended')",1422.0,69.6,1386.0,49.4,-802.44,-5.8,0.026
current_plus_core,"low (unflagged, <3pt)",887.0,69.4,878.0,50.3,-342.22,-3.9,0.237
elo,"high (green, >=5pt)",1314.0,68.6,1286.0,49.5,-718.76,-5.6,0.036
elo,"medium (yellow, 3-5pt)",403.0,73.0,393.0,50.9,-112.0,-2.8,0.579
elo,"combined (>=3pt, ='recommended')",1717.0,69.6,1679.0,49.8,-830.76,-4.9,0.036
elo,"low (unflagged, <3pt)",643.0,68.0,636.0,49.1,-403.92,-6.4,0.096
ensemble_3way,"high (green, >=5pt)",866.0,71.5,841.0,50.7,-277.66,-3.3,0.317
ensemble_3way,"medium (yellow, 3-5pt)",528.0,70.3,524.0,48.3,-410.23,-7.8,0.066
ensemble_3way,"combined (>=3pt, ='recommended')",1394.0,71.0,1365.0,49.7,-687.89,-5.0,0.054
ensemble_3way,"low (unflagged, <3pt)",965.0,67.9,949.0,49.3,-555.88,-5.9,0.059
gradient_boosting,"high (green, >=5pt)",1073.0,67.7,1051.0,50.2,-430.48,-4.1,0.165
gradient_boosting,"medium (yellow, 3-5pt)",461.0,69.0,451.0,50.1,-195.66,-4.3,0.346
gradient_boosting,"combined (>=3pt, ='recommended')",1534.0,68.1,1502.0,50.2,-626.14,-4.2,0.093
gradient_boosting,"low (unflagged, <3pt)",825.0,70.5,812.0,51.6,-121.29,-1.5,0.673
massey_capped,"high (green, >=5pt)",819.0,71.4,806.0,52.6,34.16,0.4,0.916
massey_capped,"medium (yellow, 3-5pt)",514.0,66.5,498.0,50.2,-207.5,-4.2,0.346
massey_capped,"combined (>=3pt, ='recommended')",1333.0,69.5,1304.0,51.7,-173.34,-1.3,0.618
massey_capped,"low (unflagged, <3pt)",1027.0,68.5,1011.0,49.0,-660.45,-6.5,0.03
