model,season,n_picks,straight_up_%,ats_n,ats_win_%,profit_$
bayesian_rating_ridge,2022,165.0,63.6,162.0,46.3,-188.25
bayesian_rating_ridge,2023,200.0,72.5,199.0,49.2,-119.18
bayesian_rating_ridge,2024,240.0,71.7,230.0,50.4,-85.56
bayesian_rating_ridge,2025,230.0,71.7,226.0,51.8,-26.47
bayesian_regression,2022,180.0,63.9,177.0,43.5,-300.07
bayesian_regression,2023,233.0,70.8,231.0,51.5,-38.29
bayesian_regression,2024,265.0,71.3,253.0,51.8,-29.21
bayesian_regression,2025,240.0,71.2,235.0,51.5,-40.11
colley,2022,320.0,61.6,317.0,53.3,56.21
colley,2023,360.0,67.8,357.0,51.0,-95.62
colley,2024,387.0,64.6,374.0,49.2,-227.44
colley,2025,394.0,65.7,387.0,51.9,-32.91
current_baseline,2022,192.0,64.1,188.0,46.8,-200.08
current_baseline,2023,228.0,68.9,226.0,49.1,-141.01
current_baseline,2024,281.0,70.1,269.0,52.0,-17.4
current_baseline,2025,248.0,71.8,243.0,51.0,-62.84
current_plus_core,2022,189.0,63.0,185.0,45.9,-227.35
current_plus_core,2023,221.0,67.9,219.0,47.5,-204.64
current_plus_core,2024,280.0,71.4,268.0,52.6,11.69
current_plus_core,2025,242.0,69.4,237.0,49.4,-136.47
elo,2022,329.0,68.4,321.0,48.6,-231.96
elo,2023,322.0,68.9,319.0,48.9,-211.96
elo,2024,324.0,66.7,314.0,47.1,-314.68
elo,2025,339.0,70.2,332.0,53.0,39.84
ensemble_3way,2022,200.0,65.5,193.0,48.2,-154.63
ensemble_3way,2023,219.0,71.2,217.0,49.3,-127.37
ensemble_3way,2024,241.0,71.8,229.0,49.8,-113.74
ensemble_3way,2025,206.0,77.2,202.0,55.4,118.08
gradient_boosting,2022,221.0,61.5,216.0,44.0,-346.45
gradient_boosting,2023,264.0,70.1,262.0,53.1,33.51
gradient_boosting,2024,309.0,70.6,298.0,50.7,-97.41
gradient_boosting,2025,279.0,67.0,275.0,52.0,-20.13
massey_capped,2022,217.0,66.4,214.0,54.2,74.44
massey_capped,2023,187.0,74.9,185.0,51.4,-36.45
massey_capped,2024,211.0,73.5,207.0,51.2,-46.46
massey_capped,2025,204.0,71.6,200.0,53.5,42.63
